grupo,cd,co,posicao,tendencia,issn,pais,revista,ric,tendencia_ric,indice_imediatez,vafi
1,q1,Q1,1,↑,1518-8345,Brasil,Rev Latino-am Enfermagem,3.229,↑,0.073,0.047
1,q1,Q1,2,↑,2357-707X,Brasil,Enfermagem em Foco,2.593,↑,0.012,1.652
1,q1,Q1,3,↓,2177-9465,Brasil,Esc Anna Nery R Enferm,2.432,↓,0.184,0.136
1,q1,Q1,4,↓,1980-265X,Brasil,Texto Contexto Enferm,2.325,↓,0.154,0.954
1,q1,Q1,5,↓,1984-0446,Brasil,REBEn,2.069,↑,0.147,0.516
1,q2,Q1,6,↑,1981-8963,Brasil,Rev Enferm UFPE On Line,1.789,↑,0.105,0.561
1,q2,Q1,7,↓,1699-5988,España,Index Enferm,1.692,↑,0.212,0.405
1,q2,Q1,8,↓,1983-1447,Brasil,Rev Gaúcha Enferm,1.672,↑,0.044,1.115
1,q2,Q1,9,↓,2176-9133,Brasil,Cogitare Enferm,1.314,↓,0.029,0.632
1,q2,Q1,10,↓,2316-9389,Brasil,Reme,1.257,↓,0.029,0.424
1,q2,Q1,11,↓,1982-0194,Brasil,Acta Paul Enferm,1.233,↓,0.106,0.949
1,q2,Q1,12,↑,2179-7692,Brasil,R Enferm UFSM,1.200,↑,0.050,0.402
1,q2,Q1,13,↑,1980-220X,Brasil,Rev Esc Enferm USP,1.200,↑,0.121,0.273
1,q2,Q1,14,↑,2175-6783,Brasil,Rev RENE,1.158,↑,0.140,0.100
1,q3,Q2,15,↓,1409-4568,Costa Rica,REVENF,1.100,↓,0.150,0.435
1,q3,Q2,16,↑,1984-7513,Brasil,Ciência Cuidado e Saúde,1.049,↑,0.033,0.416
1,q3,Q2,17,↑,2175-5361,Brasil,R Pesq cuid Fundam,0.991,↑,0.000,0.917
1,q3,Q2,18,↑,1130-2399,España,Enferm Intensiva,0.903,↑,0.097,0.308
1,q3,Q2,19,↑,2178-8650,Brasil,Rev Baiana Enferm,0.901,↑,0.037,0.394
1,q3,Q2,20,↓,2448-0525,Brasil,Rev SOBECC,0.900,↓,0.033,0.273
1,q3,Q2,21,→,1130-8621,España,Enferm Clínica,0.867,↑,0.017,0.406
1,q3,Q2,22,↑,2346-3414,Colombia,Rev Cuid,0.852,↑,0.049,0.065
1,q3,Q2,23,↓,2182-2883,Portugal,Referência,0.825,↓,0.025,0.179
1,q3,Q2,24,↓,0104-3552,Brasil,Revista Enfermagem UERJ,0.822,↑,0.020,0.310
1,q3,Q2,25,↑,2346-0261,Colombia,Av Enferm,0.778,↑,0.028,0.346
1,q3,Q2,26,↓,2236-6091,Brasil,R Enferm Cent O Min,0.682,↑,0.045,0.259
1,q3,Q2,27,↑,2216-0280,Colombia,Invest Educ Enferm,0.667,↑,0.042,0.108
1,q3,Q2,28,↓,2027-5374,Colombia,Aquichán,0.625,↓,0.063,0.328
1,q3,Q3,29,↑,1518-1944,Brasil,REE,0.622,↑,0.027,0.591
1,q4,Q3,30,↑,1699-6003,España,Cul cuid,0.590,↑,0.016,0.242
1,q4,Q3,31,↓,1695-6141,España,Enferm Global,0.570,↓,0.038,0.281
1,q4,Q3,32,↑,1561-2961,Cuba,Rev Cubana Enferm,0.533,↓,0.011,0.167
1,q4,Q3,33,↑,2238-7234,Brasil,REUFPI,0.524,↑,0.000,0.302
1,q4,Q3,34,↑,1988-7973,España,Rev Ética de los Cuidados,0.500,↓,0.000,0.854
1,q4,Q3,35,↓,2448-8062,México,Rev Enferm IMSS,0.450,↓,0.000,0.147
1,q4,Q3,36,↑,0717-9553,Chile,Ciencia y Enfermería,0.444,↑,0.000,0.208
1,q4,Q3,37,↑,1676-4286,Brasil,OBJN,0.429,↑,0.000,0.120
1,q4,Q3,38,↓,1887-2255,España,Rev Tesela,0.429,↓,0.143,0.133
1,q4,Q3,39,↑,1699-6011,España,Temperamentvm,0.388,↓,0.269,0.271
