"Journal Data Filtered By:  Selected Categories: HEALTH CARE SCIENCES & SERVICES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"JOURNAL OF MEDICAL INTERNET RESEARCH","J MED INTERNET RES","JMIR PUBLICATIONS, INC","1439-4456","1438-8871","HEALTH CARE SCIENCES & SERVICES","SCIE","66,779","8.2"," 8/194 ",
"BMC HEALTH SERVICES RESEARCH","BMC HEALTH SERV RES","BMC","N/A","1472-6963","HEALTH CARE SCIENCES & SERVICES","SCIE","51,962","3.3"," 63/194 ",
"JOURNAL OF CLINICAL EPIDEMIOLOGY","J CLIN EPIDEMIOL","ELSEVIER SCIENCE INC","0895-4356","1878-5921","HEALTH CARE SCIENCES & SERVICES","SCIE","47,404","5.8"," 23/194 ",
"Healthcare","HEALTHCARE-BASEL","MDPI","N/A","2227-9032","HEALTH CARE SCIENCES & SERVICES","SCIE","38,753","3.4"," 57/194 ",
"JOURNAL OF GENERAL INTERNAL MEDICINE","J GEN INTERN MED","SPRINGER","0884-8734","1525-1497","HEALTH CARE SCIENCES & SERVICES","SCIE","35,343","4.1"," 39/194 ",
"BMC Medical Research Methodology","BMC MED RES METHODOL","BMC","N/A","1471-2288","HEALTH CARE SCIENCES & SERVICES","SCIE","33,154","3.7"," 51/194 ",
"SUPPORTIVE CARE IN CANCER","SUPPORT CARE CANCER","SPRINGER","0941-4355","1433-7339","HEALTH CARE SCIENCES & SERVICES","SCIE","27,891","3.4"," 57/194 ",
"npj Digital Medicine","NPJ DIGIT MED","NATURE PORTFOLIO","2398-6352","2398-6352","HEALTH CARE SCIENCES & SERVICES","SCIE","25,262","18"," 1/194 ",
"ACADEMIC MEDICINE","ACAD MED","OXFORD UNIV PRESS","1040-2446","1938-808X","HEALTH CARE SCIENCES & SERVICES","SCIE","24,475","4.5"," 34/194 ",
"QUALITY OF LIFE RESEARCH","QUAL LIFE RES","SPRINGER","0962-9343","1573-2649","HEALTH CARE SCIENCES & SERVICES","SCIE","23,835","3.4"," 57/194 ",
"Implementation Science","IMPLEMENT SCI","BMC","1748-5908","1748-5908","HEALTH CARE SCIENCES & SERVICES","SCIE","23,777","10.2"," 4/194 ",
"HEALTH AFFAIRS","HEALTH AFFAIR","Health Affairs Publishing LLC","0278-2715","0278-2715","HEALTH CARE SCIENCES & SERVICES","SCIE","20,492","6.7"," 13/194 ",
"MEDICAL CARE","MED CARE","LIPPINCOTT WILLIAMS & WILKINS","0025-7079","1537-1948","HEALTH CARE SCIENCES & SERVICES","SCIE","19,977","1.9"," 128/194 ",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","HEALTH CARE SCIENCES & SERVICES","SCIE","18,887","7.1"," 10/194 ",
"VALUE IN HEALTH","VALUE HEALTH","ELSEVIER SCIENCE INC","1098-3015","1524-4733","HEALTH CARE SCIENCES & SERVICES","SCIE","17,374","6.2"," 17/194 ",
"JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","J PAIN SYMPTOM MANAG","ELSEVIER SCIENCE INC","0885-3924","1873-6513","HEALTH CARE SCIENCES & SERVICES","SCIE","16,803","4"," 42/194 ",
"JMIR mHealth and uHealth","JMIR MHEALTH UHEALTH","JMIR PUBLICATIONS, INC","2291-5222","2291-5222","HEALTH CARE SCIENCES & SERVICES","SCIE","16,615","6.3"," 16/194 ",
"Health and Quality of Life Outcomes","HEALTH QUAL LIFE OUT","BMC","N/A","1477-7525","HEALTH CARE SCIENCES & SERVICES","SCIE","16,330","3.9"," 46/194 ",
"MEDICAL TEACHER","MED TEACH","TAYLOR & FRANCIS LTD","0142-159X","1466-187X","HEALTH CARE SCIENCES & SERVICES","SCIE","15,537","4"," 42/194 ",
"MEDICAL EDUCATION","MED EDUC","WILEY","0308-0110","1365-2923","HEALTH CARE SCIENCES & SERVICES","SCIE","13,985","6.2"," 17/194 ",
"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","INT J MED INFORM","ELSEVIER IRELAND LTD","1386-5056","1872-8243","HEALTH CARE SCIENCES & SERVICES","SCIE","12,781","5"," 25/194 ",
"HEALTH SERVICES RESEARCH","HEALTH SERV RES","WILEY","0017-9124","1475-6773","HEALTH CARE SCIENCES & SERVICES","SCIE","11,145","3"," 72/194 ",
"INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE","INT J QUAL HEALTH C","OXFORD UNIV PRESS","1353-4505","1464-3677","HEALTH CARE SCIENCES & SERVICES","SCIE","11,130","2.6"," 89/194 ",
"HEALTH EXPECTATIONS","HEALTH EXPECT","WILEY","1369-6513","1369-7625","HEALTH CARE SCIENCES & SERVICES","SCIE","9,821","3.4"," 57/194 ",
"HEALTH POLICY","HEALTH POLICY","ELSEVIER IRELAND LTD","0168-8510","1872-6054","HEALTH CARE SCIENCES & SERVICES","SCIE","9,762","4.7"," 29/194 ",
"STATISTICAL METHODS IN MEDICAL RESEARCH","STAT METHODS MED RES","SAGE PUBLICATIONS LTD","0962-2802","1477-0334","HEALTH CARE SCIENCES & SERVICES","SCIE","9,631","2.4"," 97/194 ",
"Digital Health","DIGIT HEALTH","SAGE PUBLICATIONS LTD","2055-2076","2055-2076","HEALTH CARE SCIENCES & SERVICES","SCIE","9,301","3.9"," 46/194 ",
