"Journal Data Filtered By:  Selected Categories: HEALTH POLICY & SERVICES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"Healthcare","HEALTHCARE-BASEL","MDPI","N/A","2227-9032","HEALTH POLICY & SERVICES","SSCI","38,753","3.4"," 23/125 ",
"QUALITY OF LIFE RESEARCH","QUAL LIFE RES","SPRINGER","0962-9343","1573-2649","HEALTH POLICY & SERVICES","SSCI","23,835","3.4"," 23/125 ",
"Implementation Science","IMPLEMENT SCI","BMC","1748-5908","1748-5908","HEALTH POLICY & SERVICES","SSCI","23,777","10.2"," 2/125 ",
"HEALTH AFFAIRS","HEALTH AFFAIR","Health Affairs Publishing LLC","0278-2715","0278-2715","HEALTH POLICY & SERVICES","SSCI","20,492","6.7"," 4/125 ",
"MEDICAL CARE","MED CARE","LIPPINCOTT WILLIAMS & WILKINS","0025-7079","1537-1948","HEALTH POLICY & SERVICES","SSCI","19,977","1.9"," 85/125 ",
"VALUE IN HEALTH","VALUE HEALTH","ELSEVIER SCIENCE INC","1098-3015","1524-4733","HEALTH POLICY & SERVICES","SSCI","17,374","6.2"," 5/125 ",
"Health and Quality of Life Outcomes","HEALTH QUAL LIFE OUT","BMC","N/A","1477-7525","HEALTH POLICY & SERVICES","SSCI","16,330","3.9"," 15/125 ",
"PSYCHIATRIC SERVICES","PSYCHIAT SERV","AMER PSYCHIATRIC PUBLISHING, INC","1075-2730","1557-9700","HEALTH POLICY & SERVICES","SSCI","12,686","3.3"," 28/125 ",
"HEALTH SERVICES RESEARCH","HEALTH SERV RES","WILEY","0017-9124","1475-6773","HEALTH POLICY & SERVICES","SSCI","11,145","3"," 35/125 ",
"INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE","INT J QUAL HEALTH C","OXFORD UNIV PRESS","1353-4505","1464-3677","HEALTH POLICY & SERVICES","SSCI","11,130","2.6"," 49/125 ",
"HEALTH COMMUNICATION","HEALTH COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1041-0236","1532-7027","HEALTH POLICY & SERVICES","SSCI","10,122","2.9"," 40/125 ",
