"Journal Data Filtered By:  Selected Categories: MEDICINE, GENERAL & INTERNAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","MASSACHUSETTS MEDICAL SOC","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","SCIE","414,591","84.5"," 2/336 ",
"LANCET","LANCET","ELSEVIER SCIENCE INC","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","SCIE","378,842","109"," 1/336 ",
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","AMER MEDICAL ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","SCIE","205,027","65.4"," 4/336 ",
"BMJ-British Medical Journal","BMJ-BRIT MED J","BMJ PUBLISHING GROUP","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL","SCIE","188,624","55.1"," 5/336 ",
"Journal of Clinical Medicine","J CLIN MED","MDPI","N/A","2077-0383","MEDICINE, GENERAL & INTERNAL","SCIE","132,600","3.3"," 67/336 ",
"BMJ Open","BMJ OPEN","BMJ PUBLISHING GROUP","2044-6055","2044-6055","MEDICINE, GENERAL & INTERNAL","SCIE","107,859","2.5"," 92/336 ",
"JAMA Network Open","JAMA NETW OPEN","AMER MEDICAL ASSOC","2574-3805","2574-3805","MEDICINE, GENERAL & INTERNAL","SCIE","100,474","11.7"," 12/336 ",
"MEDICINE","MEDICINE","LIPPINCOTT WILLIAMS & WILKINS","0025-7974","1536-5964","MEDICINE, GENERAL & INTERNAL","SCIE","81,919","2"," 113/336 ",
"Cochrane Database of Systematic Reviews","COCHRANE DB SYST REV","WILEY","1469-493X","1361-6137","MEDICINE, GENERAL & INTERNAL","SCIE","81,381","11.1"," 14/336 ",
"ANNALS OF INTERNAL MEDICINE","ANN INTERN MED","AMER COLL PHYSICIANS","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL","SCIE","69,750","17.2"," 9/336 ",
"Frontiers in Medicine","FRONT MED-LAUSANNE","FRONTIERS MEDIA SA","N/A","2296-858X","MEDICINE, GENERAL & INTERNAL","SCIE","54,614","3.6"," 64/336 ",
"Diagnostics","DIAGNOSTICS","MDPI","N/A","2075-4418","MEDICINE, GENERAL & INTERNAL","SCIE","50,959","3.8"," 61/336 ",
"PLOS MEDICINE","PLOS MED","PUBLIC LIBRARY SCIENCE","1549-1277","1549-1676","MEDICINE, GENERAL & INTERNAL","SCIE","46,452","9.9"," 16/336 ",
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","NATURE PORTFOLIO","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","SCIE","45,742","79.8"," 3/336 ",
"BMC Medicine","BMC MED","BMC","1741-7015","1741-7015","MEDICINE, GENERAL & INTERNAL","SCIE","38,473","8.7"," 21/336 ",
"JOURNAL OF GENERAL INTERNAL MEDICINE","J GEN INTERN MED","SPRINGER","0884-8734","1525-1497","MEDICINE, GENERAL & INTERNAL","SCIE","35,343","4.1"," 53/336 ",
"Systematic Reviews","SYST REV-LONDON","BMC","N/A","2046-4053","MEDICINE, GENERAL & INTERNAL","SCIE","30,659","5.7"," 35/336 ",
"Medicina-Lithuania","MEDICINA-LITHUANIA","MDPI","1010-660X","1648-9144","MEDICINE, GENERAL & INTERNAL","SCIE","30,609","2.9"," 75/336 ",
"EClinicalMedicine","ECLINICALMEDICINE","ELSEVIER","N/A","2589-5370","MEDICINE, GENERAL & INTERNAL","SCIE","28,691","12.8"," 10/336 ",
"JAMA Internal Medicine","JAMA INTERN MED","AMER MEDICAL ASSOC","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL","SCIE","28,116","26.3"," 7/336 ",
"AMERICAN JOURNAL OF PREVENTIVE MEDICINE","AM J PREV MED","ELSEVIER SCIENCE INC","0749-3797","1873-2607","MEDICINE, GENERAL & INTERNAL","SCIE","27,112","4.7"," 47/336 ",
"American Journal of Medicine","AM J MED","ELSEVIER SCIENCE INC","0002-9343","1555-7162","MEDICINE, GENERAL & INTERNAL","SCIE","24,244","6"," 32/336 ",
"MAYO CLINIC PROCEEDINGS","MAYO CLIN PROC","ELSEVIER SCIENCE INC","0025-6196","1942-5546","MEDICINE, GENERAL & INTERNAL","SCIE","21,169","6.5"," 29/336 ",
"Preventive Medicine","PREV MED","ACADEMIC PRESS INC ELSEVIER SCIENCE","0091-7435","1096-0260","MEDICINE, GENERAL & INTERNAL","SCIE","20,853","3.2"," 68/336 ",
"CANADIAN MEDICAL ASSOCIATION JOURNAL","CAN MED ASSOC J","CMA-CANADIAN MEDICAL ASSOC","0820-3946","1488-2329","MEDICINE, GENERAL & INTERNAL","SCIE","18,542","8.6"," 23/336 ",
"CHINESE MEDICAL JOURNAL","CHINESE MED J-PEKING","LIPPINCOTT WILLIAMS & WILKINS","0366-6999","2542-5641","MEDICINE, GENERAL & INTERNAL","SCIE","18,009","9.1"," 19/336 ",
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","WILEY","2190-5991","2190-6009","MEDICINE, GENERAL & INTERNAL","SCIE","17,703","9.9"," 16/336 ",
"JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","J PAIN SYMPTOM MANAG","ELSEVIER SCIENCE INC","0885-3924","1873-6513","MEDICINE, GENERAL & INTERNAL","SCIE","16,803","4"," 57/336 ",
"JOURNAL OF INTERNAL MEDICINE","J INTERN MED","WILEY","0954-6820","1365-2796","MEDICINE, GENERAL & INTERNAL","SCIE","16,193","7.6"," 26/336 ",
"ANNALS OF MEDICINE","ANN MED","TAYLOR & FRANCIS LTD","0785-3890","1365-2060","MEDICINE, GENERAL & INTERNAL","SCIE","13,491","4.9"," 45/336 ",
"MEDICAL JOURNAL OF AUSTRALIA","MED J AUSTRALIA","WILEY","0025-729X","1326-5377","MEDICINE, GENERAL & INTERNAL","SCIE","12,934","6.8"," 28/336 ",
"BMJ Case Reports","BMJ CASE REP","BMJ PUBLISHING GROUP","N/A","1757-790X","MEDICINE, GENERAL & INTERNAL","ESCI","11,983","0.4"," 257/336 ",
"Lancet Digital Health","LANCET DIGIT HEALTH","ELSEVIER","N/A","2589-7500","MEDICINE, GENERAL & INTERNAL","SCIE","11,618","25.5"," 8/336 ",
"PAIN MEDICINE","PAIN MED","OXFORD UNIV PRESS","1526-2375","1526-4637","MEDICINE, GENERAL & INTERNAL","SCIE","11,289","4"," 57/336 ",
"Journal of Clinical and Diagnostic Research","J CLIN DIAGN RES","PREMCHAND SHANTIDEVI RESEARCH FOUNDATION","2249-782X","0973-709X","MEDICINE, GENERAL & INTERNAL","ESCI","10,878","0.2"," 292/336 ",
"Annals of Medicine and Surgery","ANN MED SURG","LIPPINCOTT WILLIAMS & WILKINS","2049-0801","2049-0801","MEDICINE, GENERAL & INTERNAL","ESCI","10,784","1.6"," 139/336 ",
"BRITISH JOURNAL OF GENERAL PRACTICE","BRIT J GEN PRACT","ROYAL COLL GENERAL PRACTITIONERS","0960-1643","1478-5242","MEDICINE, GENERAL & INTERNAL","SCIE","10,475","5.1"," 42/336 ",
"Deutsches Arzteblatt International","DTSCH ARZTEBL INT","DEUTSCHER AERZTE-VERLAG GMBH","1866-0452","1866-0452","MEDICINE, GENERAL & INTERNAL","SCIE","10,470","8.7"," 21/336 ",
