"Journal Data Filtered By:  Selected Categories: PRIMARY HEALTH CARE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"BRITISH JOURNAL OF GENERAL PRACTICE","BRIT J GEN PRACT","ROYAL COLL GENERAL PRACTITIONERS","0960-1643","1478-5242","PRIMARY HEALTH CARE","SCIE","10,475","5.1"," 2/29 ",
"Journal of Family Medicine and Primary Care","J FAM MED PRIM CARE","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2249-4863","2278-7135","PRIMARY HEALTH CARE","ESCI","8,753","1.1"," 25/29 ",
"ANNALS OF FAMILY MEDICINE","ANN FAM MED","ANNALS FAMILY MEDICINE","1544-1709","1544-1717","PRIMARY HEALTH CARE","SCIE","6,900","5.3"," 1/29 ",
"FAMILY PRACTICE","FAM PRACT","OXFORD UNIV PRESS","0263-2136","1460-2229","PRIMARY HEALTH CARE","SCIE","5,522","1.9"," 17/29 ",
"CANADIAN FAMILY PHYSICIAN","CAN FAM PHYSICIAN","COLL FAMILY PHYSICIANS CANADA","0008-350X","1715-5258","PRIMARY HEALTH CARE","SCIE","4,822","3.8"," 6/29 ",
"Journal of the American Board of Family Medicine","J AM BOARD FAM MED","AMER BOARD FAMILY MEDICINE","1557-2625","1558-7118","PRIMARY HEALTH CARE","SCIE","4,507","2.3"," 12/29 ",
"Journal of Primary Care and Community Health","J PRIM CARE COMMUNIT","SAGE PUBLICATIONS INC","2150-1319","2150-1327","PRIMARY HEALTH CARE","ESCI","3,680","2.7"," 9/29 ",
"BMC Primary Care","BMC PRIM CARE","BMC","N/A","2731-4553","PRIMARY HEALTH CARE","SCIE","3,510","2.9"," 8/29 ",
"FAMILY MEDICINE","FAM MED","SOC TEACHERS FAMILY MEDICINE","0742-3225","1938-3800","PRIMARY HEALTH CARE","SCIE","2,811","2"," 14/29 ",
"PRIMARY CARE","PRIMARY CARE","W B SAUNDERS CO-ELSEVIER INC","0095-4543","1558-299X","PRIMARY HEALTH CARE","SCIE","2,740","4.1"," 5/29 ",
"PHYSICIAN AND SPORTSMEDICINE","PHYSICIAN SPORTSMED","TAYLOR & FRANCIS LTD","0091-3847","2326-3660","PRIMARY HEALTH CARE","SCIE","2,510","1.6"," 20/29 ",
"Primary Care Diabetes","PRIM CARE DIABETES","ELSEVIER SCI LTD","1751-9918","1878-0210","PRIMARY HEALTH CARE","SCIE","2,402","2.3"," 12/29 ",
"European Journal of General Practice","EUR J GEN PRACT","TAYLOR & FRANCIS LTD","1381-4788","1751-1402","PRIMARY HEALTH CARE","SCIE","1,990","2.7"," 9/29 ",
"Primary Health Care Research & Development","PRIM HEALTH CARE RES","CAMBRIDGE UNIV PRESS","1463-4236","1477-1128","PRIMARY HEALTH CARE","SCIE","1,977","2"," 14/29 ",
"SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE","SCAND J PRIM HEALTH","TAYLOR & FRANCIS LTD","0281-3432","1502-7724","PRIMARY HEALTH CARE","SCIE","1,952","1.9"," 17/29 ",
"Australian Journal of General Practice","AUST J GEN PRACT","ROYAL AUSTRALIAN COLLEGE GENERAL PRACTITIONERS","2208-794X","2208-7958","PRIMARY HEALTH CARE","SCIE","1,832","2"," 14/29 ",
"BJGP Open","BJGP OPEN","ROYAL COLL GENERAL PRACTITIONERS","N/A","2398-3795","PRIMARY HEALTH CARE","ESCI","1,767","2.4"," 11/29 ",
"African Journal of Primary Health Care & Family Medicine","AFR J PRIM HEALTH CA","AOSIS","2071-2928","2071-2936","PRIMARY HEALTH CARE","ESCI","1,745","1.7"," 19/29 ",
"npj Primary Care Respiratory Medicine","NPJ PRIM CARE RESP M","NATURE PORTFOLIO","N/A","2055-1010","PRIMARY HEALTH CARE","SCIE","1,706","4.7"," 3/29 ",
"Korean Journal of Family Medicine","KOREAN J FAM MED","KOREAN ACAD FAMILY MEDICINE","2092-6715","2092-6715","PRIMARY HEALTH CARE","ESCI","1,694","3.4"," 7/29 ",
"Atencion Primaria","ATEN PRIM","ELSEVIER ESPANA SLU","0212-6567","1578-1275","PRIMARY HEALTH CARE","SCIE","1,685","1.6"," 20/29 ",
"Family Medicine and Community Health","FAM MED COMMUNITY HE","BMJ PUBLISHING GROUP","2305-6983","2009-8774","PRIMARY HEALTH CARE","ESCI","1,489","4.5"," 4/29 ",
"Australian Journal of Primary Health","AUST J PRIM HEALTH","CSIRO PUBLISHING","1448-7527","1836-7399","PRIMARY HEALTH CARE","SCIE","1,463","1.4"," 22/29 ",
"Journal of Primary Health Care","J PRIM HEALTH CARE","CSIRO PUBLISHING","1172-6164","1172-6156","PRIMARY HEALTH CARE","ESCI","702","1.1"," 25/29 ",
"Education for Primary Care","EDUC PRIM CARE","TAYLOR & FRANCIS INC","1473-9879","1475-990X","PRIMARY HEALTH CARE","ESCI","672","1.2"," 23/29 ",
"Medicina de Familia-SEMERGEN","MED FAM-SEMERGEN","ELSEVIER","1138-3593","1578-8865","PRIMARY HEALTH CARE","ESCI","564","1"," 27/29 ",
"Malaysian Family Physician","MALAYS FAM PHYS","ACAD FAMILY PHYSICIANS MALAYSIA","1985-207X","1985-2274","PRIMARY HEALTH CARE","ESCI","552","1.2"," 23/29 ",
"Family Medicine and Primary Care Review","FAM MED PRIM CARE RE","TERMEDIA PUBLISHING HOUSE LTD","1734-3402","2449-8580","PRIMARY HEALTH CARE","ESCI","311","0.3"," 28/29 ",
