"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"ENVIRONMENTAL RESEARCH","ENVIRON RES","ACADEMIC PRESS INC ELSEVIER SCIENCE","0013-9351","1096-0953","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","110,166","8.2"," 20/443 ",
"BMC PUBLIC HEALTH","BMC PUBLIC HEALTH","BMC","N/A","1471-2458","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","110,078","4.4"," 60/443 ",
"Frontiers in Public Health","FRONT PUBLIC HEALTH","FRONTIERS MEDIA SA","N/A","2296-2565","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","83,487","4.1"," 75/443 ",
"SOCIAL SCIENCE & MEDICINE","SOC SCI MED","PERGAMON-ELSEVIER SCIENCE LTD","0277-9536","1873-5347","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","64,963","4.1"," 75/443 ",
"JOURNAL OF CLINICAL EPIDEMIOLOGY","J CLIN EPIDEMIOL","ELSEVIER SCIENCE INC","0895-4356","1878-5921","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","47,404","5.8"," 37/443 ",
"AMERICAN JOURNAL OF PUBLIC HEALTH","AM J PUBLIC HEALTH","AMER PUBLIC HEALTH ASSOC INC","0090-0036","1541-0048","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","41,993","7.8"," 22/443 ",
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE","0091-6765","1552-9924","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","41,356","10.9"," 11/443 ",
"INTERNATIONAL JOURNAL OF EPIDEMIOLOGY","INT J EPIDEMIOL","OXFORD UNIV PRESS","0300-5771","1464-3685","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","40,010","5.7"," 39/443 ",
"AMERICAN JOURNAL OF EPIDEMIOLOGY","AM J EPIDEMIOL","OXFORD UNIV PRESS INC","0002-9262","1476-6256","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","38,482","4.1"," 75/443 ",
"STATISTICS IN MEDICINE","STAT MED","WILEY","0277-6715","1097-0258","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","36,828","2.1"," 231/443 ",
