Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,WILEY,0007-9235,1542-4863,ONCOLOGY,SCIE,685.2,1/333
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,NATURE PORTFOLIO,1471-0072,1471-0080,CELL BIOLOGY,SCIE,118.0,1/207
LANCET,LANCET,ELSEVIER SCIENCE INC,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL",SCIE,109.0,1/336
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,NATURE PORTFOLIO,1740-1526,1740-1534,MICROBIOLOGY,SCIE,104.6,1/167
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,CENTERS DISEASE CONTROL & PREVENTION,1545-8636,1545-8636,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,96.9,1/443
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,NATURE PORTFOLIO,1759-4774,1759-4782,ONCOLOGY,SCIE,94.6,2/333
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,NATURE PORTFOLIO,1474-1776,1474-1784,Multiple,SCIE,91.2,1/180
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,MASSACHUSETTS MEDICAL SOC,0028-4793,1533-4406,"MEDICINE, GENERAL & INTERNAL",SCIE,84.5,2/336
Nature Reviews Materials,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437,Multiple,SCIE,83.3,1/472
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,Multiple,SCIE,81.2,1/328
ANNALS OF ONCOLOGY,ANN ONCOL,ELSEVIER,0923-7534,1569-8041,ONCOLOGY,SCIE,80.4,3/333
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,NATURE PORTFOLIO,2056-676X,2056-676X,"MEDICINE, GENERAL & INTERNAL",SCIE,79.8,3/336
World Psychiatry,WORLD PSYCHIATRY,WILEY,1723-8617,2051-5545,PSYCHIATRY,"SCIE, SSCI",79.5,1/293
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,Multiple,SCIE,74.1,1/395
Nature Energy,NAT ENERGY,NATURE PORTFOLIO,2058-7546,2058-7546,Multiple,SCIE,70.1,1/191
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,AMER MEDICAL ASSOC,0098-7484,1538-3598,"MEDICINE, GENERAL & INTERNAL",SCIE,65.4,4/336
Living Reviews in Relativity,LIVING REV RELATIV,SPRINGER INT PUBL AG,2367-3613,1433-8351,"PHYSICS, PARTICLES & FIELDS",SCIE,64.6,1/31
CHEMICAL REVIEWS,CHEM REV,AMER CHEMICAL SOC,0009-2665,1520-6890,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,64.2,1/250
NATURE REVIEWS CANCER,NAT REV CANCER,NATURE PORTFOLIO,1474-175X,1474-1768,ONCOLOGY,SCIE,60.7,4/333
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,NATURE PORTFOLIO,1759-5045,1759-5053,GASTROENTEROLOGY & HEPATOLOGY,SCIE,57.5,1/153
NATURE,NATURE,NATURE PORTFOLIO,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES,SCIE,56.1,1/140
CANCER CELL,CANCER CELL,CELL PRESS,1535-6108,1878-3686,Multiple,SCIE,56.1,3/207
Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,ANNUAL REVIEWS,2327-0608,2327-0616,Multiple,SSCI,55.9,1/426
BMJ-British Medical Journal,BMJ-BRIT MED J,BMJ PUBLISHING GROUP,0959-535X,1756-1833,"MEDICINE, GENERAL & INTERNAL",SCIE,55.1,5/336
LANCET NEUROLOGY,LANCET NEUROL,ELSEVIER SCIENCE INC,1474-4422,1474-4465,CLINICAL NEUROLOGY,SCIE,54.6,1/296
Nature Reviews Methods Primers,NAT REV METHOD PRIME,SPRINGERNATURE,N/A,2662-8449,MULTIDISCIPLINARY SCIENCES,SCIE,54.2,2/140
eScience,ESCIENCE,KEAI PUBLISHING LTD,2097-2431,2667-1417,Multiple,SCIE,52.9,1/44
NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,Multiple,SCIE,52.5,2/328
NATURE REVIEWS GENETICS,NAT REV GENET,NATURE PORTFOLIO,1471-0056,1471-0064,GENETICS & HEREDITY,SCIE,51.4,1/192
MMWR Recommendations and Reports,MMWR RECOMM REP,CENTERS DISEASE CONTROL & PREVENTION,1057-5987,1545-8601,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,51.3,2/443
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,SPRINGERNATURE,2520-8489,2520-8136,ELECTROCHEMISTRY,SCIE,50.7,2/44
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,N/A,1553-877X,Multiple,SCIE,50.6,1/266
Nature Reviews Chemistry,NAT REV CHEM,NATURE PORTFOLIO,N/A,2397-3358,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,50.3,2/250
Nature Reviews Cardiology,NAT REV CARDIOL,NATURE PORTFOLIO,1759-5002,1759-5010,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,50.2,1/237
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,AMER PHYSICAL SOC,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY",SCIE,48.9,1/112
Nature Catalysis,NAT CATAL,NATURE PORTFOLIO,2520-1158,2520-1158,"CHEMISTRY, PHYSICAL",SCIE,48.3,1/191
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,ROYAL SOC CHEMISTRY,0306-0012,1460-4744,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,48.3,3/250
Journal of Hematology & Oncology,J HEMATOL ONCOL,BMC,N/A,1756-8722,Multiple,SCIE,47.8,1/103
SCIENCE,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES,SCIE,47.3,3/140
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,NATURE PORTFOLIO,1474-1733,1474-1741,IMMUNOLOGY,SCIE,47.1,1/183
Nature Reviews Nephrology,NAT REV NEPHROL,NATURE PORTFOLIO,1759-5061,1759-507X,UROLOGY & NEPHROLOGY,SCIE,46.7,1/134
Nature Reviews Physics,NAT REV PHYS,NATURE PORTFOLIO,N/A,2522-5820,Multiple,SCIE,46.6,1/191
EUROPEAN HEART JOURNAL,EUR HEART J,OXFORD UNIV PRESS,0195-668X,1522-9645,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,45.3,2/237
CELL,CELL,CELL PRESS,0092-8674,1097-4172,Multiple,SCIE,45.1,3/328
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,LIPPINCOTT WILLIAMS & WILKINS,0732-183X,1527-7755,ONCOLOGY,SCIE,44.7,7/333
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,NATURE PORTFOLIO,1087-0156,1546-1696,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,44.5,2/180
iMeta,IMETA,WILEY,2770-5986,2770-596X,MICROBIOLOGY,SCIE,44.4,2/167
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6425,1873-2208,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,42.9,4/472
Nature Reviews Bioengineering,NAT REV BIOENG,SPRINGERNATURE,N/A,2731-6092,Multiple,SCIE,42.7,1/130
Nature Electronics,NAT ELECTRON,NATURE PORTFOLIO,2520-1131,2520-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,42.3,1/369
Molecular Cancer,MOL CANCER,BMC,N/A,1476-4598,Multiple,SCIE,42.2,4/328
Annual Review of Psychology,ANNU REV PSYCHOL,ANNUAL REVIEWS,0066-4308,1545-2085,Multiple,SCIE,41.8,1/93
